epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.21,1.47096,3.10212,1.2678,0.97664,0.16728,0.31184,0.19799,1.13696,4.12023,1.01413,0.000655172,0.000655172,0.000655172
2,405.104,1.27739,1.97366,1.08219,0.52444,0.65286,0.58124,0.3795,1.26,2.91139,1.23785,0.00130875,0.00130875,0.00130875
3,557.799,1.28081,1.69656,1.10615,0.68266,0.828,0.7828,0.48847,1.2864,1.78275,1.17626,0.00194913,0.00194913,0.00194913
4,737.402,1.29641,1.4294,1.08614,0.73662,0.684,0.72923,0.43158,1.35048,2.12515,1.19004,0.0019406,0.0019406,0.0019406
5,920.294,1.23527,1.21541,1.06955,0.75432,0.784,0.83299,0.54642,1.21775,1.47035,1.09992,0.0019208,0.0019208,0.0019208
6,1098,1.23483,1.11489,1.06485,0.72855,0.74076,0.79086,0.50945,1.28003,1.23048,1.18175,0.001901,0.001901,0.001901
7,1248.6,1.20418,1.02855,1.05686,0.8046,0.864,0.84442,0.54035,1.11755,1.14518,1.0574,0.0018812,0.0018812,0.0018812
8,1394.3,1.13304,0.92564,1.02692,0.82099,0.892,0.91137,0.60678,1.13707,0.856,1.03976,0.0018614,0.0018614,0.0018614
9,1562.6,1.12561,0.90539,1.01478,0.708,0.88258,0.83822,0.58965,1.12764,0.92201,1.04321,0.0018416,0.0018416,0.0018416
10,1722.3,1.11894,0.89486,1.02128,0.82816,0.888,0.9126,0.61853,1.1241,0.82763,1.02524,0.0018218,0.0018218,0.0018218
11,1872.31,1.10068,0.84279,1.00643,0.83186,0.85094,0.90017,0.63902,1.03023,0.83383,1.02558,0.001802,0.001802,0.001802
12,2020.51,1.08433,0.82141,1.00251,0.82796,0.90474,0.90502,0.61722,1.12071,0.82759,1.0242,0.0017822,0.0017822,0.0017822
13,2179.81,1.07291,0.79321,0.99197,0.80282,0.892,0.89374,0.61576,1.08259,0.86909,1.03813,0.0017624,0.0017624,0.0017624
14,2337.69,1.05099,0.76534,0.98737,0.83483,0.92,0.93472,0.67233,1.04148,0.7129,1.00847,0.0017426,0.0017426,0.0017426
15,2527.1,1.06329,0.77915,0.99416,0.81692,0.908,0.93194,0.65109,1.03132,0.73367,1.01203,0.0017228,0.0017228,0.0017228
16,2710.1,1.03538,0.77155,0.99869,0.82012,0.91187,0.9337,0.65416,1.07014,0.73366,1.0317,0.001703,0.001703,0.001703
17,2910.6,1.00388,0.73277,0.98104,0.87678,0.85391,0.92899,0.66274,1.02684,0.74886,1.00732,0.0016832,0.0016832,0.0016832
18,3092.7,1.03579,0.74257,0.9806,0.85829,0.868,0.9161,0.62192,1.09045,0.83318,1.03191,0.0016634,0.0016634,0.0016634
19,3242.7,1.03543,0.73454,0.98646,0.861,0.852,0.91473,0.65929,0.99651,0.74278,0.99197,0.0016436,0.0016436,0.0016436
20,3409.69,1.01326,0.72327,0.9676,0.86981,0.892,0.93897,0.68051,0.99409,0.68351,1.00109,0.0016238,0.0016238,0.0016238
21,3568.2,1.01331,0.72404,0.98733,0.87309,0.904,0.90733,0.62841,1.07958,0.79201,1.01445,0.001604,0.001604,0.001604
22,3716.1,1.01196,0.70546,0.96686,0.82364,0.908,0.92863,0.67344,0.98521,0.71995,0.98467,0.0015842,0.0015842,0.0015842
23,3885.6,1.01064,0.68433,0.9771,0.86106,0.904,0.93849,0.68819,1.00398,0.65873,0.99813,0.0015644,0.0015644,0.0015644
24,4056.4,1.03287,0.72591,0.98412,0.85411,0.884,0.92123,0.65499,1.08007,0.75323,1.01368,0.0015446,0.0015446,0.0015446
25,4225.39,0.9992,0.71993,0.97477,0.81324,0.88829,0.91436,0.67238,0.98683,0.69398,0.98739,0.0015248,0.0015248,0.0015248
26,4408.1,0.97092,0.69555,0.95525,0.86882,0.90074,0.91234,0.66743,0.97894,0.69135,0.98862,0.001505,0.001505,0.001505
27,4590.3,0.97133,0.67495,0.97209,0.85534,0.908,0.93218,0.6837,1.00827,0.69137,0.98364,0.0014852,0.0014852,0.0014852
28,4736.89,0.98261,0.69241,0.96858,0.85428,0.892,0.92143,0.67624,1.04036,0.68084,0.99544,0.0014654,0.0014654,0.0014654
29,4883.6,0.97509,0.68617,0.96595,0.83949,0.912,0.92334,0.66826,0.98353,0.67707,0.98082,0.0014456,0.0014456,0.0014456
30,5034.9,0.98519,0.6734,0.95636,0.87469,0.89343,0.93967,0.70748,0.92897,0.66159,0.96368,0.0014258,0.0014258,0.0014258
31,5177.29,0.95569,0.65722,0.94772,0.87432,0.91827,0.93666,0.67205,0.98544,0.67046,0.9802,0.001406,0.001406,0.001406
32,5302,0.95885,0.66136,0.95277,0.85922,0.9,0.93637,0.70166,0.94258,0.65067,0.96291,0.0013862,0.0013862,0.0013862
33,5426.5,0.90741,0.64075,0.93436,0.84091,0.912,0.94442,0.70176,0.97272,0.66017,0.98219,0.0013664,0.0013664,0.0013664
34,5556.3,0.9447,0.64901,0.95071,0.86749,0.86414,0.93538,0.69189,0.97435,0.69359,0.98742,0.0013466,0.0013466,0.0013466
35,5688.69,0.96623,0.6562,0.96445,0.86205,0.824,0.92367,0.6767,0.97562,0.67837,0.97976,0.0013268,0.0013268,0.0013268
36,5828.6,0.95307,0.65292,0.95523,0.90385,0.844,0.9368,0.68483,1.00977,0.66334,0.97496,0.001307,0.001307,0.001307
37,5945.31,0.9277,0.62829,0.9482,0.85712,0.91184,0.94352,0.69257,0.96712,0.64741,0.96812,0.0012872,0.0012872,0.0012872
38,6065.4,0.91829,0.62371,0.9435,0.81668,0.94,0.94522,0.71356,0.92676,0.62086,0.95661,0.0012674,0.0012674,0.0012674
39,6191.3,0.91391,0.62942,0.94135,0.87271,0.87755,0.94177,0.70168,0.93394,0.63698,0.95703,0.0012476,0.0012476,0.0012476
40,6331.6,0.92062,0.63594,0.94148,0.87459,0.89266,0.94266,0.69075,0.97783,0.62893,0.97654,0.0012278,0.0012278,0.0012278
41,6500.19,0.92437,0.63588,0.94836,0.89324,0.90366,0.9386,0.69817,1.00379,0.63279,0.98351,0.001208,0.001208,0.001208
42,6661.8,0.90079,0.62704,0.93967,0.87623,0.90621,0.93584,0.70505,0.93678,0.6154,0.95997,0.0011882,0.0011882,0.0011882
43,6816.01,0.90867,0.61776,0.94167,0.84951,0.90321,0.93644,0.71116,0.90698,0.65856,0.95691,0.0011684,0.0011684,0.0011684
44,6963.91,0.88323,0.61273,0.93669,0.85445,0.92,0.94202,0.70807,0.94042,0.66405,0.95739,0.0011486,0.0011486,0.0011486
45,7120.9,0.89832,0.6088,0.93604,0.86083,0.91542,0.95222,0.70653,0.95883,0.61791,0.96721,0.0011288,0.0011288,0.0011288
46,7275.3,0.91295,0.619,0.94375,0.91116,0.86152,0.9577,0.72016,0.9491,0.59993,0.96075,0.001109,0.001109,0.001109
47,7431.2,0.90139,0.60754,0.95008,0.92012,0.86,0.94764,0.72049,0.92677,0.62402,0.95155,0.0010892,0.0010892,0.0010892
48,7577.1,0.88492,0.58395,0.93172,0.88247,0.892,0.95242,0.72494,0.91559,0.6094,0.95295,0.0010694,0.0010694,0.0010694
49,7733.2,0.87971,0.59154,0.92445,0.89047,0.904,0.94249,0.70823,0.96239,0.60088,0.96368,0.0010496,0.0010496,0.0010496
50,7879.71,0.89978,0.62905,0.936,0.86151,0.89576,0.94079,0.70848,0.97281,0.6267,0.96893,0.0010298,0.0010298,0.0010298
51,8035.5,0.86852,0.5795,0.92754,0.84969,0.952,0.94545,0.707,0.93733,0.60831,0.94619,0.00101,0.00101,0.00101
52,8187.01,0.86938,0.5892,0.92588,0.87547,0.904,0.9464,0.71316,0.92554,0.62313,0.94365,0.0009902,0.0009902,0.0009902
53,8348.2,0.88897,0.58723,0.92797,0.89786,0.91417,0.95271,0.73469,0.89943,0.57643,0.93549,0.0009704,0.0009704,0.0009704
54,8522.8,0.87113,0.59202,0.92057,0.84883,0.92088,0.94407,0.71006,0.94397,0.59927,0.96347,0.0009506,0.0009506,0.0009506
55,8701,0.86727,0.57078,0.9266,0.8592,0.92758,0.94609,0.71346,0.97767,0.60207,0.96103,0.0009308,0.0009308,0.0009308
56,8850.5,0.86331,0.57874,0.91345,0.86683,0.916,0.94159,0.71278,0.9054,0.62202,0.95372,0.000911,0.000911,0.000911
57,9016.2,0.84735,0.56571,0.91996,0.84406,0.928,0.94084,0.71315,0.90534,0.61519,0.94095,0.0008912,0.0008912,0.0008912
58,9175,0.85565,0.57626,0.91766,0.88286,0.892,0.9376,0.71451,0.90965,0.59894,0.95163,0.0008714,0.0008714,0.0008714
59,9333.7,0.86175,0.57207,0.91811,0.87103,0.892,0.9476,0.711,0.9464,0.5887,0.95334,0.0008516,0.0008516,0.0008516
60,9493.1,0.86559,0.56615,0.92785,0.85401,0.93598,0.95048,0.73282,0.92055,0.58607,0.94653,0.0008318,0.0008318,0.0008318
61,9640.1,0.84399,0.5532,0.91779,0.89589,0.884,0.95406,0.73542,0.90593,0.57291,0.94534,0.000812,0.000812,0.000812
62,9818.6,0.82334,0.5419,0.91015,0.83582,0.936,0.94936,0.73612,0.92109,0.58897,0.94895,0.0007922,0.0007922,0.0007922
63,9974.4,0.83752,0.53956,0.92451,0.86364,0.904,0.94425,0.70274,0.93706,0.60567,0.96761,0.0007724,0.0007724,0.0007724
64,10131.2,0.82205,0.54692,0.91093,0.86737,0.92,0.94968,0.72243,0.9073,0.58369,0.94269,0.0007526,0.0007526,0.0007526
65,10283.9,0.82214,0.53728,0.91647,0.84672,0.92803,0.94596,0.73284,0.88567,0.57057,0.93832,0.0007328,0.0007328,0.0007328
66,10446,0.83306,0.52288,0.91539,0.89124,0.896,0.95166,0.72745,0.89061,0.56002,0.94174,0.000713,0.000713,0.000713
67,10585.2,0.82091,0.55035,0.9011,0.88687,0.90941,0.95003,0.71158,0.93968,0.59552,0.94372,0.0006932,0.0006932,0.0006932
68,10740.1,0.80441,0.52514,0.91307,0.87791,0.92,0.95055,0.72519,0.88142,0.55243,0.9422,0.0006734,0.0006734,0.0006734
69,10879.7,0.82558,0.53386,0.91882,0.87137,0.912,0.95352,0.73403,0.90282,0.55283,0.93606,0.0006536,0.0006536,0.0006536
70,11033.2,0.79912,0.52107,0.90731,0.89644,0.9,0.95631,0.73181,0.88406,0.54404,0.93556,0.0006338,0.0006338,0.0006338
71,11221.9,0.80485,0.51418,0.91293,0.87108,0.91895,0.95604,0.74802,0.87206,0.54682,0.93203,0.000614,0.000614,0.000614
72,11387.6,0.79644,0.51335,0.90648,0.88014,0.91051,0.95358,0.73578,0.87616,0.54096,0.93656,0.0005942,0.0005942,0.0005942
73,11546.6,0.81551,0.53442,0.91431,0.86405,0.94067,0.95126,0.73616,0.87223,0.55399,0.93538,0.0005744,0.0005744,0.0005744
74,11707.8,0.80688,0.5195,0.91051,0.87717,0.928,0.95362,0.73259,0.89336,0.55124,0.93856,0.0005546,0.0005546,0.0005546
75,11860.4,0.80995,0.52725,0.90141,0.87871,0.92729,0.95401,0.73604,0.87449,0.5724,0.9364,0.0005348,0.0005348,0.0005348
76,11989.2,0.77635,0.49755,0.91148,0.87197,0.912,0.94998,0.73183,0.883,0.56428,0.93289,0.000515,0.000515,0.000515
77,12114.8,0.79122,0.51262,0.89826,0.85019,0.944,0.95034,0.73159,0.87339,0.56613,0.93187,0.0004952,0.0004952,0.0004952
78,12256.3,0.78702,0.5199,0.89669,0.89473,0.908,0.95473,0.73377,0.88835,0.54927,0.93402,0.0004754,0.0004754,0.0004754
79,12385.4,0.78043,0.49888,0.89844,0.83086,0.952,0.95272,0.74745,0.86452,0.53744,0.92508,0.0004556,0.0004556,0.0004556
80,12507,0.76662,0.48484,0.90046,0.89741,0.90979,0.95015,0.72887,0.88856,0.55278,0.93002,0.0004358,0.0004358,0.0004358
81,12618.1,0.77788,0.49646,0.91623,0.87102,0.92,0.9541,0.74221,0.86812,0.55924,0.92559,0.000416,0.000416,0.000416
82,12737.6,0.75414,0.49326,0.89825,0.86814,0.924,0.95069,0.74688,0.85414,0.53929,0.92963,0.0003962,0.0003962,0.0003962
83,12850.6,0.74543,0.47747,0.89954,0.91143,0.90562,0.94949,0.73781,0.87193,0.53804,0.92956,0.0003764,0.0003764,0.0003764
84,12967.5,0.75949,0.48516,0.90512,0.87629,0.92,0.95152,0.73266,0.87658,0.53202,0.92887,0.0003566,0.0003566,0.0003566
85,13083.5,0.7543,0.48493,0.89036,0.86387,0.924,0.95133,0.74052,0.88336,0.54338,0.93224,0.0003368,0.0003368,0.0003368
86,13206.9,0.75808,0.48409,0.89469,0.85901,0.95045,0.95536,0.74843,0.87141,0.53903,0.93364,0.000317,0.000317,0.000317
87,13336.9,0.76458,0.49604,0.89814,0.86309,0.932,0.95477,0.73814,0.89066,0.5244,0.93988,0.0002972,0.0002972,0.0002972
88,13476.5,0.74523,0.46891,0.90635,0.86016,0.952,0.95786,0.74262,0.88736,0.52093,0.93186,0.0002774,0.0002774,0.0002774
89,13616.8,0.74072,0.47061,0.88922,0.87494,0.94,0.957,0.74126,0.88043,0.53308,0.93196,0.0002576,0.0002576,0.0002576
90,13771,0.73518,0.46739,0.88706,0.86233,0.92707,0.9547,0.74038,0.87418,0.54632,0.93963,0.0002378,0.0002378,0.0002378
91,13940.8,0.70946,0.45428,0.88047,0.88089,0.91702,0.95241,0.74332,0.86045,0.52971,0.93363,0.000218,0.000218,0.000218
