epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0658,1.59917,3.18532,1.25288,0.5217,0.44591,0.44144,0.27299,1.49695,3.29999,1.14569,0.000661836,0.000661836,0.000661836
2,55.1995,1.53367,2.0432,1.10487,0.71135,0.60473,0.60262,0.33126,1.59712,2.0312,1.17292,0.0013022,0.0013022,0.0013022
3,79.2916,1.47492,1.61746,1.09456,0.62281,0.55673,0.53603,0.32279,1.45052,1.61652,1.11153,0.00191616,0.00191616,0.00191616
4,104.692,1.50654,1.407,1.10127,0.57162,0.65172,0.60323,0.32837,1.53061,1.4447,1.12477,0.0018812,0.0018812,0.0018812
5,128.194,1.39346,1.22136,1.06969,0.68285,0.72559,0.67224,0.42512,1.27178,1.13394,1.03709,0.0018416,0.0018416,0.0018416
6,153.995,1.39009,1.14472,1.06611,0.68928,0.64644,0.67581,0.41371,1.36248,1.17294,1.05465,0.001802,0.001802,0.001802
7,177.681,1.33373,1.05804,1.04833,0.75072,0.67541,0.704,0.43722,1.31966,1.1158,1.03488,0.0017624,0.0017624,0.0017624
8,203.171,1.36314,1.0359,1.04473,0.74117,0.72032,0.73849,0.43961,1.26787,1.05595,1.0208,0.0017228,0.0017228,0.0017228
9,228.244,1.34389,1.00744,1.02295,0.71599,0.73167,0.73,0.44969,1.29352,0.95562,1.01801,0.0016832,0.0016832,0.0016832
10,253.387,1.3213,0.96685,1.01156,0.73924,0.7124,0.7454,0.44465,1.35256,0.95815,1.03731,0.0016436,0.0016436,0.0016436
11,277.591,1.27232,0.90708,1.00391,0.73119,0.75462,0.76658,0.49316,1.25736,0.86891,1.01245,0.001604,0.001604,0.001604
12,302.128,1.28085,0.89408,1.01189,0.73743,0.78364,0.79951,0.50495,1.23408,0.84074,0.99504,0.0015644,0.0015644,0.0015644
13,326.393,1.24637,0.84851,0.99806,0.75041,0.77309,0.79784,0.50941,1.1745,0.82381,0.97248,0.0015248,0.0015248,0.0015248
14,352.117,1.25068,0.85032,0.99323,0.75312,0.82586,0.82672,0.54255,1.14181,0.79061,0.98602,0.0014852,0.0014852,0.0014852
15,375.822,1.24195,0.84902,0.98051,0.72108,0.76781,0.80196,0.50995,1.23383,0.82117,1.00029,0.0014456,0.0014456,0.0014456
16,392.333,1.21009,0.85502,0.98674,0.74283,0.81546,0.83446,0.53865,1.14138,0.78439,0.9718,0.001406,0.001406,0.001406
17,403.517,1.20117,0.82494,0.98054,0.78281,0.77309,0.82507,0.54978,1.13215,0.79507,0.95878,0.0013664,0.0013664,0.0013664
18,414.712,1.19751,0.82717,0.97961,0.76,0.80213,0.82508,0.52706,1.15219,0.77739,0.97822,0.0013268,0.0013268,0.0013268
19,426.395,1.17153,0.78286,0.96269,0.71991,0.80211,0.81188,0.51027,1.21942,0.76587,0.99546,0.0012872,0.0012872,0.0012872
20,446.105,1.1869,0.78772,0.97123,0.77782,0.73895,0.78585,0.50184,1.19753,0.85879,0.96832,0.0012476,0.0012476,0.0012476
21,469.198,1.19159,0.77616,0.98222,0.76047,0.83113,0.84652,0.55025,1.13466,0.75071,0.95933,0.001208,0.001208,0.001208
22,492.794,1.15171,0.76051,0.96783,0.77963,0.81794,0.84192,0.56453,1.11382,0.7328,0.94864,0.0011684,0.0011684,0.0011684
23,516.766,1.13905,0.74886,0.968,0.76132,0.81003,0.8218,0.54326,1.11004,0.73519,0.94599,0.0011288,0.0011288,0.0011288
24,539.604,1.14832,0.77678,0.95989,0.75565,0.8496,0.85284,0.55527,1.10464,0.72131,0.94354,0.0010892,0.0010892,0.0010892
25,563.537,1.11281,0.73233,0.95079,0.77652,0.82513,0.85201,0.55895,1.16349,0.72165,0.95657,0.0010496,0.0010496,0.0010496
26,586.93,1.14429,0.75956,0.95383,0.79408,0.78892,0.84757,0.53993,1.19416,0.73735,0.96537,0.00101,0.00101,0.00101
